"hexagon_id","geom_wkt"
140,"POLYGON((80000 640858.7988004846,85000 632198.5447626403,95000 632198.5447626403,100000 640858.7988004846,95000 649519.052838329,85000 649519.052838329,80000 640858.7988004846))"
141,"POLYGON((95000 303108.8913245535,100000 294448.63728670916,110000 294448.63728670916,115000 303108.8913245535,110000 311769.1453623979,100000 311769.1453623979,95000 303108.8913245535))"
142,"POLYGON((95000 320429.3994002423,100000 311769.1453623979,110000 311769.1453623979,115000 320429.3994002423,110000 329089.6534380867,100000 329089.6534380867,95000 320429.3994002423))"
143,"POLYGON((95000 337749.90747593105,100000 329089.6534380867,110000 329089.6534380867,115000 337749.90747593105,110000 346410.16151377547,100000 346410.16151377547,95000 337749.90747593105))"
144,"POLYGON((95000 355070.41555161984,100000 346410.16151377547,110000 346410.16151377547,115000 355070.41555161984,110000 363730.6695894642,100000 363730.6695894642,95000 355070.41555161984))"
145,"POLYGON((95000 372390.9236273086,100000 363730.6695894642,110000 363730.6695894642,115000 372390.9236273086,110000 381051.177665153,100000 381051.177665153,95000 372390.9236273086))"
146,"POLYGON((95000 389711.43170299736,100000 381051.177665153,110000 381051.177665153,115000 389711.43170299736,110000 398371.6857408418,100000 398371.6857408418,95000 389711.43170299736))"
147,"POLYGON((95000 407031.93977868615,100000 398371.6857408418,110000 398371.6857408418,115000 407031.93977868615,110000 415692.1938165305,100000 415692.1938165305,95000 407031.93977868615))"
148,"POLYGON((95000 424352.44785437494,100000 415692.1938165305,110000 415692.1938165305,115000 424352.44785437494,110000 433012.7018922193,100000 433012.7018922193,95000 424352.44785437494))"
149,"POLYGON((95000 441672.95593006373,100000 433012.7018922193,110000 433012.7018922193,115000 441672.95593006373,110000 450333.2099679081,100000 450333.2099679081,95000 441672.95593006373))"
150,"POLYGON((95000 458993.46400575247,100000 450333.2099679081,110000 450333.2099679081,115000 458993.46400575247,110000 467653.7180435969,100000 467653.7180435969,95000 458993.46400575247))"
151,"POLYGON((95000 476313.97208144126,100000 467653.7180435969,110000 467653.7180435969,115000 476313.97208144126,110000 484974.2261192856,100000 484974.2261192856,95000 476313.97208144126))"
152,"POLYGON((95000 493634.48015713005,100000 484974.2261192856,110000 484974.2261192856,115000 493634.48015713005,110000 502294.7341949744,100000 502294.7341949744,95000 493634.48015713005))"
153,"POLYGON((95000 510954.9882328188,100000 502294.7341949744,110000 502294.7341949744,115000 510954.9882328188,110000 519615.2422706632,100000 519615.2422706632,95000 510954.9882328188))"
154,"POLYGON((95000 528275.4963085075,100000 519615.2422706632,110000 519615.2422706632,115000 528275.4963085075,110000 536935.750346352,100000 536935.750346352,95000 528275.4963085075))"
155,"POLYGON((95000 545596.0043841964,100000 536935.750346352,110000 536935.750346352,115000 545596.0043841964,110000 554256.2584220407,100000 554256.2584220407,95000 545596.0043841964))"
156,"POLYGON((95000 562916.5124598851,100000 554256.2584220407,110000 554256.2584220407,115000 562916.5124598851,110000 571576.7664977295,100000 571576.7664977295,95000 562916.5124598851))"
